id,matrix_row,matrix_column,year,citation,title,authors_source,study_design,population,product_platform,outcome_domain,key_finding,evidence_signal,actionability,source_url,tags,evidence_update_date,evidence_update_precision,evidence_update_basis,map_record_updated
A009,Adult active vaccination,Evidence synthesis / guidance,2024,"Britton et al., MMWR 2024",Use of RSV Vaccines in Adults Aged 60 Years and Older: Updated ACIP Recommendations,CDC / ACIP,Recommendation update / evidence-to-policy synthesis,Adults aged 60 years and older; high-risk groups,Arexvy; Abrysvo; mResvia,Vaccine uptake; safety; effectiveness; policy refinement,"Replaced shared clinical decision-making with age- and risk-based recommendations after first-season uptake, safety and effectiveness data became available.",Policy synthesis,Useful for mapping how evidence translated into updated recommendations.,https://www.cdc.gov/mmwr/volumes/73/wr/mm7332e1.htm,adult guidance; ACIP; policy; uptake; safety,2024-08-15,day,MMWR issue date,2026-05-25
A003,Adult active vaccination,Human RCT / controlled trial,2025,"Ison et al., Lancet Respiratory Medicine 2025","RSVPreF3 OA efficacy, safety, and immunogenicity over three RSV seasons",Ison et al.,Multicentre randomised phase 3 trial follow-up,Adults aged 60 years and older,RSVPreF3 OA / Arexvy (GSK),Durability; waning; severe RSV-LRTD; revaccination,"Single-dose RSVPreF3 OA remained efficacious over three seasons, with evidence of waning and unresolved optimal revaccination strategy.",Longer-term phase 3 evidence,Key record for duration-of-protection and booster-policy gaps.,https://pubmed.ncbi.nlm.nih.gov/40245915/,adult vaccine; durability; waning; Arexvy; three seasons,2025-05-14,day,source publication date,2026-05-25
A002,Adult active vaccination,Human RCT / controlled trial,2024,"Ison et al., Clinical Infectious Diseases 2024",Efficacy and Safety of RSVPreF3 OA over two RSV seasons,Ison et al.,Phase 3 follow-up / randomised trial extension,Adults aged 60 years and older,RSVPreF3 OA / Arexvy (GSK),Durability; revaccination; lower respiratory tract disease,One dose remained efficacious over two RSV seasons; revaccination after one year was evaluated for safety and immunogenicity.,Durability evidence from phase 3 programme,Informs revaccination-interval uncertainty.,https://pubmed.ncbi.nlm.nih.gov/38253338/,adult vaccine; durability; revaccination; Arexvy,2024-01-23,day,source publication date,2026-05-25
A001,Adult active vaccination,Human RCT / controlled trial,2023,"Papi et al., NEJM 2023",Respiratory Syncytial Virus Prefusion F Protein Vaccine in Older Adults,Papi et al.,"Phase 3 randomised, placebo-controlled trial",Adults aged 60 years and older,RSVPreF3 OA / Arexvy (GSK),RSV-related lower respiratory tract disease; severe disease; safety,Single-dose RSVPreF3 OA showed high efficacy against RSV-related lower respiratory tract disease in older adults with acceptable safety in the pivotal trial.,Pivotal phase 3 efficacy evidence,Supports adult vaccine recommendations and product licensure.,https://www.nejm.org/doi/full/10.1056/NEJMoa2209604,adult vaccine; older adults; Arexvy; RSVPreF3; phase 3,2023-02-16,day,source publication date,2026-05-25
A004,Adult active vaccination,Human RCT / controlled trial,2023,"Walsh et al., NEJM 2023",Efficacy and Safety of a Bivalent RSV Prefusion F Vaccine in Older Adults,Walsh et al.,"Phase 3 randomised, placebo-controlled trial (RENOIR)",Adults aged 60 years and older,RSVpreF / Abrysvo (Pfizer),RSV-associated lower respiratory tract illness; acute respiratory illness; safety,RSVpreF prevented RSV-associated lower respiratory tract illness and acute respiratory illness in older adults without evident safety concerns in the pivotal trial.,Pivotal phase 3 efficacy evidence,Supports adult vaccine recommendations and licensure.,https://www.nejm.org/doi/full/10.1056/NEJMoa2213836,adult vaccine; older adults; Abrysvo; RSVpreF; phase 3,2023-04-20,day,source publication date,2026-05-25
A005,Adult active vaccination,Human RCT / controlled trial,2023,"Wilson et al., NEJM 2023",Efficacy and Safety of an mRNA-Based RSV PreF Vaccine in Older Adults,Wilson et al.,"Phase 2/3 randomised, placebo-controlled trial (ConquerRSV)",Adults aged 60 years and older,mRNA-1345 / mResvia (Moderna),RSV-associated lower respiratory tract disease; acute respiratory disease; safety,A single mRNA-1345 dose reduced RSV-associated lower respiratory tract disease and acute respiratory disease in adults 60+ with no evident safety concerns in the trial report.,Pivotal clinical efficacy evidence,Supports mRNA adult RSV vaccine use and platform comparison.,https://pubmed.ncbi.nlm.nih.gov/38091530/,adult vaccine; mRNA; mResvia; Moderna; phase 3,2023-12-14,day,source publication date,2026-05-25
A007,Adult active vaccination,Observational / real-world,2025,"Fry et al., JAMA Network Open 2025",Respiratory Syncytial Virus Vaccine for US Adults Aged 60 Years or Older,Fry et al.,Large case-control study using electronic health data,US adults aged 60 years and older; immunocompromised subgroup,Licensed adult RSV vaccines,Medically attended RSV; ED/urgent care; hospitalisation; safety signal,"Estimated vaccine effectiveness was approximately 75% against medically attended RSV outcomes, with a quantified Guillain-Barré syndrome safety signal requiring monitoring.",Large real-world effectiveness and safety study,Supports benefits while highlighting rare-safety-signal surveillance needs.,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2833776,adult vaccine; real-world; GBS; safety; effectiveness,2025-05-01,day,source publication date,2026-05-25
A006,Adult active vaccination,Observational / real-world,2024,"Surie et al., JAMA 2024",RSV Vaccine Effectiveness Against Hospitalization Among US Adults Aged 60 Years and Older,Surie et al.,Multicentre test-negative case-control effectiveness study,US adults aged 60 years and older,Licensed adult RSV vaccines in first season of use,RSV-associated hospitalisation; real-world effectiveness,Post-licensure RSV vaccination was associated with reduced odds of RSV-associated hospitalisation during the first season of use.,Real-world effectiveness evidence,Important implementation evidence beyond RCT efficacy endpoints.,https://jamanetwork.com/journals/jama/fullarticle/2823011,adult vaccine; real-world effectiveness; hospitalisation; United States,2024-08-29,day,source publication date,2026-05-25
M004,Maternal active vaccination,Evidence synthesis / guidance,2024,CDC pregnant women guidance,RSV Vaccine Guidance for Pregnant Women,CDC,Clinical guidance / implementation advice,Pregnant women at 32 through 36 weeks gestation; infants,RSVpreF / Abrysvo (Pfizer),Timing; eligibility; maternal vaccine vs infant antibody choice,"Recommends a single Pfizer Abrysvo dose during weeks 32–36 of pregnancy, with most infants not needing both maternal vaccine and infant monoclonal antibody.",Authoritative policy guidance,Current implementation anchor for maternal immunisation.,https://www.cdc.gov/rsv/hcp/vaccine-clinical-guidance/pregnant-people.html,maternal guidance; CDC; Abrysvo; 32-36 weeks; implementation,2024-08-30,day,CDC page date,2026-05-25
M005,Maternal active vaccination,Evidence synthesis / guidance,2023,"Fleming-Dutra et al., MMWR 2023",Use of the Pfizer RSV Vaccine During Pregnancy for Prevention of RSV-Associated LRTI in Infants,CDC / ACIP,ACIP recommendation / evidence-to-recommendations synthesis,Pregnant persons; infants under 6 months,RSVpreF / Abrysvo (Pfizer),Policy; gestational timing; efficacy; safety warnings,"Recommended RSVpreF as a one-time dose at 32–36 weeks gestation, with FDA labelling to reduce potential preterm birth risk at earlier gestations.",Policy synthesis with safety caveats,Provides rationale for gestational-window restrictions.,https://www.cdc.gov/mmwr/volumes/72/wr/mm7241e1.htm,maternal guidance; ACIP; gestational window; preterm birth warning,2023-10-13,day,MMWR issue date,2026-05-25
M001,Maternal active vaccination,Human RCT / controlled trial,2023,"Kampmann et al., NEJM 2023",Bivalent Prefusion F Vaccine in Pregnancy to Prevent RSV Illness in Infants,Kampmann et al.,"Phase 3 randomised, placebo-controlled maternal immunisation trial (MATISSE)",Pregnant women; infants from birth to 6 months,RSVpreF / Abrysvo (Pfizer),Medically attended severe RSV-LRTI; infant protection; safety,Maternal RSVpreF vaccination was effective against medically attended severe RSV-associated lower respiratory tract illness in infants.,Pivotal phase 3 maternal efficacy evidence,Supports maternal vaccination as a prevention pathway for early infant RSV disease.,https://pubmed.ncbi.nlm.nih.gov/37018474/,maternal vaccine; Abrysvo; infants; severe LRTI; phase 3,2023-04-20,day,source publication date,2026-05-25
M002,Maternal active vaccination,Human RCT / controlled trial,2020,"Madhi et al., NEJM 2020",Respiratory Syncytial Virus Vaccination during Pregnancy and Effects in Infants,Madhi et al.,Phase 3 randomised maternal immunisation trial (PREPARE),Pregnant women; infants,RSV F protein nanoparticle vaccine (Novavax),Medically significant RSV-LRTI; infant endpoints; maternal safety,The vaccine did not meet the prespecified success criterion for efficacy against RSV-associated medically significant lower respiratory tract infection in infants.,Phase 3 negative/partial efficacy evidence,Important comparator showing maternal vaccine efficacy is product- and endpoint-dependent.,https://pubmed.ncbi.nlm.nih.gov/32726529/,maternal vaccine; Novavax; PREPARE; negative trial; infants,2020-07-30,day,source publication date,2026-05-25
M006,Maternal active vaccination,Observational / real-world,2024,"Son et al., JAMA Network Open 2024",Nonadjuvanted Bivalent RSV Prefusion F Protein Subunit Vaccination During Pregnancy and Preterm Birth,Son et al.,Retrospective cohort study,Pregnant people delivering during 2023–2024 recommended vaccination period,RSVpreF / Abrysvo (Pfizer),Preterm birth; real-world safety; hypertensive disorders,A real-world cohort did not find an increased risk of preterm birth based on maternal RSVpreF vaccination status.,Early post-licensure safety evidence,Adds reassurance but requires broader surveillance across settings.,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2820865,maternal vaccine; real-world safety; preterm birth; Abrysvo,2024-07-08,day,source publication date,2026-05-25
M003,Maternal active vaccination,Safety signal / surveillance,2024,"Dieussaert et al., NEJM 2024",RSV Prefusion F Protein-Based Maternal Vaccine,Dieussaert et al.,Phase 3 randomised maternal vaccine trial stopped early,Pregnant women; infants,RSVPreF3-Mat (GSK),Infant efficacy; preterm birth; neonatal safety,Enrollment and vaccination were stopped after a higher preterm birth risk was observed in the vaccine group than placebo.,High-priority safety signal in phase 3 trial,Central safety record for maternal active vaccine evidence mapping.,https://pubmed.ncbi.nlm.nih.gov/38477988/,maternal vaccine; GSK; preterm birth; safety signal; stopped trial,2024-03-14,day,source publication date,2026-05-25
P009,Infant passive immunization,Evidence synthesis / guidance,2025,"Moulia et al., MMWR 2025 clesrovimab recommendations",Use of Clesrovimab for Prevention of Severe RSV-Associated LRTI in Infants,CDC / ACIP,ACIP recommendation / GRADE and evidence-to-recommendations synthesis,Infants younger than 8 months not otherwise protected by maternal vaccination,Clesrovimab / Enflonsia; nirsevimab alternative,Eligibility; product interchangeability; programme implementation,"Recommended clesrovimab as an alternative to nirsevimab for infants under 8 months entering or born during their first RSV season, with no preference between products.",Policy synthesis / newest infant mAb recommendation,Updates product landscape and supply-resilience options.,https://www.cdc.gov/mmwr/volumes/74/wr/mm7432a3.htm,clesrovimab; nirsevimab; ACIP; infants; guidance,2025-08-28,day,MMWR issue date,2026-05-25
P010,Infant passive immunization,Evidence synthesis / guidance,2025,CDC infant and young child RSV guidance,RSV Immunization Guidance for Infants and Young Children,CDC,Clinical guidance,Infants under 8 months; selected children 8–19 months; not generally ≥20 months,Nirsevimab; clesrovimab; maternal RSV vaccine linkage,Eligibility; timing; product selection; second-season restrictions,Explains which infants and young children should receive an infant RSV antibody and clarifies age/season restrictions.,Authoritative clinical guidance,Practical implementation rule set for infant mAb programmes.,https://www.cdc.gov/rsv/hcp/vaccine-clinical-guidance/infants-young-children.html,infant guidance; monoclonal antibody; CDC; eligibility; timing,2025-08-18,day,CDC page date,2026-05-25
P008,Infant passive immunization,Evidence synthesis / guidance,2023,"Jones et al., MMWR 2023",Use of Nirsevimab for the Prevention of RSV Disease Among Infants and Young Children,CDC / ACIP,ACIP recommendation / GRADE and evidence-to-recommendations synthesis,Infants under 8 months; high-risk children 8–19 months entering second season,Nirsevimab / Beyfortus,Eligibility; dosing; timing; evidence certainty,Recommended nirsevimab for infants entering their first RSV season and selected high-risk children entering their second season.,Policy synthesis with GRADE/EtR,Implementation anchor for nirsevimab use.,https://www.cdc.gov/mmwr/volumes/72/wr/mm7234a4.htm,nirsevimab; ACIP; infants; second season; guidance,2023-08-25,day,MMWR issue date,2026-05-25
P006,Infant passive immunization,Human RCT / controlled trial,2025,"Zar et al., NEJM 2025",Clesrovimab for Prevention of RSV Disease in Healthy Preterm and Full-Term Infants,Zar et al.,Phase 2b/3 randomised trial (CLEVER),Healthy preterm and full-term infants entering first RSV season,Clesrovimab / Enflonsia,Medically attended RSV-LRTI; hospitalisation; safety,A single fixed dose of clesrovimab reduced RSV-associated medically attended lower respiratory infection and hospitalisation with placebo-like safety profile in the trial report.,Pivotal infant mAb efficacy evidence,Supports newer infant mAb option and comparison with nirsevimab strategies.,https://www.nejm.org/doi/full/10.1056/NEJMoa2502984,clesrovimab; infants; monoclonal antibody; phase 2b/3; hospitalisation,2026-01-29,day,source updated date; original publication 2025-09-17,2026-05-25
P007,Infant passive immunization,Human RCT / controlled trial,2025,"Zar et al., NEJM 2025 letter / SMART",Clesrovimab in Infants and Children at Increased Risk for Severe RSV,Zar et al.,Phase 3 open-label comparative trial / interim report,Infants and children at increased risk for severe RSV; first and second seasons,Clesrovimab compared with palivizumab,Safety; high-risk prophylaxis; RSV medically attended LRTI/hospitalisation,"Assessed clesrovimab against palivizumab in high-risk infants and children, extending evidence beyond healthy first-season infants.",Comparative high-risk infant evidence,Important for high-risk second-season policy and product substitution questions.,https://www.nejm.org/doi/full/10.1056/NEJMc2506107,clesrovimab; palivizumab; high-risk infants; SMART; comparative,2025-09-17,day,source publication date,2026-05-25
P003,Infant passive immunization,Human RCT / controlled trial,2023,"Drysdale et al., NEJM 2023",Nirsevimab for Prevention of Hospitalizations Due to RSV in Infants,Drysdale et al.,Phase 3b randomised open-label trial (HARMONIE),Infants under 12 months entering RSV season,Nirsevimab / Beyfortus,RSV-associated hospitalisation; very severe RSV-LRTI,Nirsevimab reduced hospitalisations for RSV-associated lower respiratory tract infection and very severe RSV-LRTI.,Pragmatic RCT evidence,High-priority implementation evidence for preventing hospitalisation.,https://pubmed.ncbi.nlm.nih.gov/38157500/,nirsevimab; HARMONIE; infants; hospitalisation; pragmatic trial,2023-12-28,day,source publication date,2026-05-25
P002,Infant passive immunization,Human RCT / controlled trial,2022,"Hammitt et al., NEJM 2022",Nirsevimab for Prevention of RSV in Healthy Late-Preterm and Term Infants,Hammitt et al.,"Phase 3 randomised, placebo-controlled trial (MELODY)",Healthy late-preterm and term infants entering first RSV season,Nirsevimab / Beyfortus,Medically attended RSV-LRTI; hospitalisation; safety,A single nirsevimab injection before RSV season protected healthy late-preterm and term infants against medically attended RSV-associated LRTI.,Pivotal infant mAb efficacy evidence,Supports universal first-season infant monoclonal antibody strategy.,https://pubmed.ncbi.nlm.nih.gov/35235726/,nirsevimab; infants; monoclonal antibody; phase 3; MELODY,2022-03-03,day,source publication date,2026-05-25
P001,Infant passive immunization,Human RCT / controlled trial,1998,"IMpact-RSV Study Group, Pediatrics 1998","Palivizumab, a humanized RSV monoclonal antibody, reduces RSV hospitalisation",IMpact-RSV Study Group,"Randomised, placebo-controlled trial",Preterm infants; children with bronchopulmonary dysplasia / chronic lung disease,Palivizumab / Synagis,RSV hospitalisation; high-risk infant prophylaxis,Palivizumab prophylaxis reduced RSV-related hospitalisation by 55% in high-risk infants and young children.,Foundational passive immunisation RCT,Historical comparator for long-acting monoclonal antibody products.,https://pubmed.ncbi.nlm.nih.gov/9738173/,palivizumab; high-risk infants; monoclonal antibody; hospitalisation,1998-09-16,day,source publication date,2026-05-25
P005,Infant passive immunization,Observational / real-world,2025,"Zambrano et al., MMWR 2025",Nirsevimab Effectiveness Against ICU Admission and Acute Respiratory Failure in Infants,CDC / IVY Network and partners,Real-world effectiveness study,Infants with RSV-associated severe outcomes,Nirsevimab / Beyfortus,ICU admission; acute respiratory failure; severe RSV outcomes,Found high effectiveness of nirsevimab against RSV-associated ICU admission and acute respiratory failure.,Real-world severe-outcome effectiveness evidence,Strengthens evidence for preventing the most severe infant outcomes.,https://www.cdc.gov/mmwr/volumes/74/wr/mm7437a1.htm,nirsevimab; ICU; severe outcomes; real-world; CDC,2025-11-20,day,MMWR issue date,2026-05-25
P011,Infant passive immunization,Observational / real-world,2025,"Sumsuzzman et al., Lancet Child & Adolescent Health 2025","Real-world effectiveness of nirsevimab against RSV hospitalisation, ICU admission, and mortality in infants",Sumsuzzman et al.,Systematic review / meta-analysis of real-world studies,Infants receiving nirsevimab in routine programmes,Nirsevimab / Beyfortus,Hospitalisation; ICU admission; severe outcomes; safety,Synthesised post-introduction studies showing substantially lower odds of RSV-related hospitalisation and ICU admission among nirsevimab recipients.,Real-world effectiveness synthesis,Supports programme evaluation and cross-country implementation comparisons.,https://www.thelancet.com/journals/lanchi/article/PIIS2352-4642(25)00093-8/abstract,nirsevimab; real-world; systematic review; hospitalisation; ICU,2025-05-01,month,source publication month,2026-05-25
P004,Infant passive immunization,Observational / real-world,2024,"Moline et al., MMWR 2024",Early Estimate of Nirsevimab Effectiveness for Prevention of RSV-Associated Hospitalization Among Infants,CDC / New Vaccine Surveillance Network,Test-negative real-world effectiveness study,Infants hospitalised with acute respiratory illness; United States,Nirsevimab / Beyfortus,Hospitalisation; early post-introduction effectiveness,Early US post-introduction estimate found high effectiveness against RSV-associated infant hospitalisation.,Early real-world effectiveness evidence,Supports programme effectiveness monitoring and supply planning.,https://www.cdc.gov/mmwr/volumes/73/wr/mm7309a4.htm,nirsevimab; real-world effectiveness; CDC; hospitalisation,2024-03-07,day,MMWR issue date,2026-05-25
P012,Infant passive immunization,Observational / real-world,2024,"Assad et al., NEJM 2024",Nirsevimab and Hospitalization for RSV Bronchiolitis,Assad et al.,Real-world case-control effectiveness study,Infants under 12 months; bronchiolitis hospitalisation setting,Nirsevimab / Beyfortus,Hospitalised RSV-associated bronchiolitis; effectiveness,"In real-world use, nirsevimab reduced risk of hospitalised RSV-associated bronchiolitis.",Real-world effectiveness evidence,Complements RCT data in routine-care context.,https://pubmed.ncbi.nlm.nih.gov/38986058/,nirsevimab; bronchiolitis; real-world; hospitalisation; infants,2024-07-11,day,source publication date,2026-05-25
S002,Pediatric active vaccine safety/development,Evidence synthesis / guidance,2016,"Acosta et al., Clinical and Vaccine Immunology 2016",Brief History and Characterization of Enhanced Respiratory Syncytial Virus Disease,Acosta et al.,Review of enhanced RSV disease history and mechanisms,Infants and toddlers; preclinical models; vaccine developers,FI-RSV and pediatric vaccine candidates,Enhanced respiratory disease; immunopathogenesis; safety criteria,"Reviews FI-RSV enhanced disease and mechanisms, including implications for modern RSV vaccine development.",Safety evidence synthesis,Useful source for pediatric active-vaccine risk framework.,https://pubmed.ncbi.nlm.nih.gov/26677198/,FI-RSV; ERD; VAERD; safety review; immunopathogenesis,2016-01-06,day,source publication date,2026-05-25
S005,Pediatric active vaccine safety/development,Human RCT / controlled trial,2021,"Karron et al., 2021",Live-attenuated vaccines prevent RSV-associated illness in young children,Karron et al.,Pooled analysis of clinical trial data,Young children; RSV-seronegative subgroups in live-attenuated vaccine trials,Live-attenuated RSV vaccine candidates,RSV-associated medically attended illness; safety; immunogenicity,Suggests live-attenuated RSV candidates can reduce RSV-associated medically attended illness and may differ from non-live platforms in VAERD risk profile.,Pediatric live-attenuated clinical evidence,Identifies a pediatric active-vaccine path that remains under investigation.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7924568/,live-attenuated vaccine; pediatric; clinical trials; safety; immunogenicity,2021-02-18,day,source publication date,2026-05-25
S006,Pediatric active vaccine safety/development,Human RCT / controlled trial,2013,"Malkin et al., PLOS ONE 2013",Safety and Immunogenicity of a Live Attenuated RSV Vaccine in RSV-Seronegative Children,Malkin et al.,Randomised placebo-controlled safety/immunogenicity study,Healthy RSV-seronegative children,MEDI-559 live-attenuated intranasal vaccine candidate,Safety; infectivity; immunogenicity; pediatric active vaccine feasibility,"Evaluated a live-attenuated intranasal candidate in RSV-seronegative children, contributing to pediatric platform evidence.",Early pediatric clinical evidence,Useful for comparing live-attenuated versus non-live pediatric strategies.,https://pmc.ncbi.nlm.nih.gov/articles/PMC3812203/,MEDI-559; live-attenuated; pediatric; seronegative; safety,2013-10-08,day,source publication date,2026-05-25
S007,Pediatric active vaccine safety/development,Translational / preclinical,2024,"FDA VRBPAC considerations, Dec 2024",Considerations for Respiratory Syncytial Virus Pediatric Vaccine Development,FDA,Regulatory science briefing / development considerations,Infants; toddlers; RSV-naïve children; pediatric vaccine developers,"Live-attenuated, vectored, mRNA, recombinant/subunit pediatric candidates",Nonclinical models; VAERD assessment; trial design safeguards,Outlines development considerations for assessing VAERD risk and deciding when pediatric RSV vaccine studies can proceed.,Regulatory translational guidance,Key input for pediatric active-vaccine evidence-gap planning.,https://www.fda.gov/media/184301/download,FDA; VAERD; pediatric vaccine development; trial safeguards; platform comparison,2024-12-12,day,FDA briefing date,2026-05-25
S003,Pediatric active vaccine safety/development,Safety signal / surveillance,2024,"FDA VRBPAC briefing, Dec 2024",Imbalance in Severe RSV LRTI in Infants and Toddlers after Study Vaccines and Implications for Pediatric Development,FDA,Regulatory briefing / safety signal assessment,RSV-naïve infants and toddlers; pediatric vaccine trial participants,Non-live pediatric RSV vaccine candidates including mRNA candidates,Severe/very severe RSV-LRTI; VAERD concern; clinical hold implications,Describes imbalance in severe RSV-LRTI after pediatric candidate vaccines and regulatory implications for trials in RSV-naïve children.,Regulatory safety signal,Defines a major evidence gap and risk constraint for pediatric active vaccines.,https://www.fda.gov/media/184380/download,FDA; pediatric vaccine; mRNA; VAERD; trial hold; safety signal,2024-12-12,day,FDA briefing date,2026-05-25
